char,hanviet,pinyin
姥,['lão'],lao3
姥,"['mỗ', 'mụ']",mu3
娜,['na'],na4
娜,['na'],nuo2
娩,['miễn'],mian3
娩,['vãn'],wan3
媛,['viên'],yuan2
媛,['viện'],yuan4
媠,['noạ'],duo4
媠,['đoạ'],tuo2
嬛,['hoàn'],huan2
嬛,['quỳnh'],qiong2
嬛,['huyên'],xuan1
子,"['tử', 'tý']",zi3
子,['tử'],zi5
宊,['gia'],jia1
宊,['đột'],tu2
宿,['túc'],su4
宿,['tú'],xiu3
宿,['tú'],xiu4
寧,['ninh'],ning2
寧,['ninh'],ning4
將,['tương'],jiang1
將,['tướng'],jiang4
將,['thương'],qiang1
少,['thiểu'],shao3
少,['thiếu'],shao4
尨,['bàng'],pang2
尨,['mang'],mang2
尺,"['xích', 'chỉ']",che3
尺,"['thước', 'xích']",chi3
尿,['niệu'],niao4
尿,['tuy'],sui1
居,['cư'],ju1
居,['cớ'],ji1
屏,"['bình', 'bính']",bing1
屏,"['bình', 'bính']",bing3
屏,"['bình', 'bính']",ping2
屬,['thuộc'],shu3
屬,"['chúc', 'chú']",zhu3
屯,['đồn'],tun2
屯,['truân'],zhun1
峒,['động'],dong4
峒,['đồng'],tong2
崒,['tuỵ'],cui4
崒,['tốt'],zu2
嵌,['khảm'],kan3
嵌,['khảm'],qian4
嶄,['sàm'],chan2
嶄,['tiệm'],zhan3
巂,['huề'],gui1
巂,['tây'],xi1
差,['sai'],cha1
差,['sai'],cha4
差,['sai'],chai1
差,['si'],ci1
帖,['thiếp'],tie1
帖,"['thiệp', 'thiếp']",tie3
帖,['thiếp'],tie4
帹,['thiếp'],qie4
帹,['sáp'],sha4
幢,['tràng'],chuang2
幢,['tràng'],zhuang4
幬,['trù'],chou2
幬,['đào'],dao4
幾,"['cơ', 'ky']",ji1
幾,['kỷ'],ji3
度,['độ'],du4
度,['đạc'],duo2
廁,['xí'],ce4
廁,['xí'],si4
廑,['cận'],jin3
廑,['cần'],qin2
廡,['vu'],wu2
廡,['vũ'],wu3
弟,['đệ'],di4
弟,['đễ'],ti4
強,['cường'],qiang2
強,['cường'],jiang4
強,['cưỡng'],qiang3
彈,['đạn'],dan4
彈,['đàn'],tan2
彊,['cường'],jiang4
彊,['cường'],qiang2
彊,['cưỡng'],qiang3
彷,['phảng'],fang3
彷,['bàng'],pang2
徵,"['trưng', 'chứng']",zheng1
徵,['chuỷ'],zhi3
徼,['kiêu'],jiao3
徼,['kiếu'],jiao4
忕,['thệ'],shi4
忕,['thái'],tai4
怫,['phí'],fei4
怫,['phật'],fu2
恁,['nhẫm'],nen4
恁,['nâm'],nin2
悁,['quyên'],juan1
悁,['quyến'],juan4
悄,['tiễu'],qiao1
悄,['thiểu'],qiao3
悝,['khôi'],kui1
悝,['lý'],li3
悶,['muộn'],men1
悶,['muộn'],men4
惏,['lam'],lan2
惏,['lâm'],lin2
惡,['ác'],e3
惡,['ác'],e4
惡,['ố'],wu4
慊,['khiểm'],qian4
慊,"['khiết', 'khiếp']",qie4
應,['ưng'],ying1
應,['ứng'],ying4
懟,['dỗi'],dui3
懟,['dỗi'],dui4
戇,['cống'],gang4
戇,['tráng'],zhuang4
扁,['thiên'],pian1
扁,['biển'],bian3
扇,['thiên'],shan1
扇,['phiến'],shan4
扒,"['bái', 'bóc']",ba1
扒,['bát'],pa2
打,['tá'],da2
打,['đả'],da3
扛,['khiêng'],gang1
扛,['gánh'],kang2
扢,['cột'],gu3
扢,['hất'],xi4
扳,"['ban', 'bản']",ban1
扳,['phan'],pan1
把,['bả'],ba3
把,['bả'],ba4
折,['chiết'],she2
折,['chiết'],zhe1
折,['chiết'],zhe2
拂,['bật'],bi4
拂,"['phất', 'phật']",fu2
拓,['thác'],tuo4
拓,['tháp'],ta4
拗,['áo'],ao4
拗,['nữu'],niu4
拚,"['phấn', 'biện']",pan4
拚,"['phiên', 'bính']",pin1
拾,['thiệp'],she4
拾,['thập'],shi2
挑,"['khiêu', 'thao', 'thêu']",tiao1
挑,['khiêu'],tiao3
挨,['ai'],ai1
挨,['ai'],ai2
挾,['giáp'],jia1
挾,['hiệp'],xie2
捋,"['loát', 'vuốt', 'tuốt']",lu:3
捋,"['loát', 'vuốt', 'tuốt']",luo1
捭,['bãi'],bai3
捭,['phách'],bo4
据,['cư'],ju1
据,['cứ'],ju4
掃,['tảo'],sao3
掃,['táo'],sao4
掊,"['bồi', 'bốc']",pou2
掊,['phẩu'],pou3
掙,['tranh'],zheng1
掙,['tranh'],zheng4
掱,['vát'],pa2
掱,['thủ'],shou3
提,['đề'],di1
提,['đề'],ti2
揣,"['suy', 'suỷ']",chuai1
揣,"['suy', 'suỷ']",chuai3
搵,['uẩn'],wen3
搵,"['uấn', 'ấn', 'vấn']",wen4
搶,['thương'],qiang1
搶,['thưởng'],qiang3
摸,"['mò', 'mạc']",mo1
摸,['mô'],mo2
摻,['sam'],chan1
摻,['sảm'],shan3
摽,['phiêu'],biao1
摽,['phiếu'],biao4
撒,"['tản', 'tát']",sa1
撒,['tản'],sa3
撩,"['liêu', 'liệu']",liao1
撩,"['liêu', 'liệu']",liao2
擂,"['lôi', 'luỵ']",lei2
擂,"['lôi', 'luỵ']",lei4
擋,['đảng'],dang3
擋,['đáng'],dang4
操,"['thao', 'tháo']",cao1
操,['tháo'],cao4
擔,"['đảm', 'đam']",dan1
擔,"['đảm', 'đam']",dan4
擰,['ninh'],ning2
擰,['ninh'],ning3
擰,['ninh'],ning4
擿,['thích'],ti1
擿,['trích'],zhi4
攢,['toàn'],cuan2
攢,['toản'],zan3
教,['giáo'],jiao4
教,"['giao', 'giáo']",jiao1
散,['tản'],san3
散,['tán'],san4
數,['sổ'],shu3
數,['số'],shu4
數,['sác'],shuo4
斂,['liễm'],lian3
斂,['liệm'],lian4
於,['ư'],yu2
於,['ư'],yu1
於,['ô'],wu1
旄,['mao'],mao2
旄,['mạo'],mao4
旋,['hoàn'],xuan2
旋,"['hoàn', 'tuyền']",xuan4
晃,['hoảng'],huang3
晃,['hoàng'],huang4
晟,"['thịnh', 'thạnh']",cheng2
晟,"['thịnh', 'thạnh']",sheng4
暈,['vựng'],yun1
暈,['vựng'],yun4
暋,['mân'],min2
暋,['mẫn'],min3
暠,['cảo'],gao3
暠,['hạo'],hao4
更,"['canh', 'cánh']",geng1
更,"['càng', 'cánh']",geng4
曾,"['tằng', 'tăng']",zeng1
曾,['từng'],ceng2
會,['hội'],hui4
會,['cối'],kuai4
朝,['triều'],chao2
朝,['triêu'],zhao1
朴,['phác'],piao2
朴,['phác'],po4
杈,['xoa'],cha1
杈,['xoa'],cha4
杓,['tiêu'],biao1
杓,['thược'],shao2
杠,['giang'],gang1
杠,['cống'],gang4
杷,['ba'],ba4
杷,['bà'],pa2
杻,['sửu'],chou3
杻,['nữu'],niu3
枸,['câu'],gou1
枸,['cẩu'],gou3
枸,['củ'],ju3
柏,['bách'],bai3
柏,['bá'],bo2
柏,['bá'],bo4
柜,['quỹ'],gui4
柜,"['cử', 'cự']",ju3
校,['hiệu'],jiao4
校,['hiệu'],xiao4
桁,['hàng'],hang2
桁,['hành'],heng2
桄,['quang'],guang1
桄,['quáng'],guang4
桔,"['kết', 'cát']",jie2
桔,['quất'],ju2
椎,"['chuỳ', 'truỳ']",chui2
椎,['chuy'],zhui1
楂,['tra'],cha2
楂,['tra'],zha1
楛,['hộ'],hu4
楛,['khổ'],ku3
楷,['giai'],jie1
楷,['khải'],kai3
榜,['bảng'],bang4
榜,['bảng'],peng4
榜,['bảng'],bang3
樂,['lạc'],le4
樂,['nhạc'],yue4
樘,[],cheng3
樘,['đường'],tang2
橫,['hoành'],heng2
橫,['hoạnh'],heng4
檔,['đáng'],dang3
檔,['đáng'],dang4
欻,[],chua1
欻,['hốt'],xu1
正,['chinh'],zheng1
正,"['chính', 'chánh']",zheng4
歪,"['oai', 'oa']",wai1
歪,"['oai', 'oa']",wai3
殷,['ân'],yin1
殷,['an'],yan1
殷,['ẩn'],yin3
殽,['hào'],xiao2
殽,['hào'],yao2
比,"['tỷ', 'bỉ']",bi3
比,['bi'],bi1
氏,['thị'],shi4
氏,['chi'],zhi1
氐,['đê'],di1
氐,['để'],di3
汗,['hãn'],han2
汗,['hãn'],han4
沈,['thẩm'],shen3
沈,['trầm'],chen2
泊,['bạc'],bo2
泊,['bạc'],po1
泡,"['phao', 'bào']",pao1
泡,"['phao', 'bào']",pao4
泥,['nê'],ni2
泥,"['nệ', 'nễ']",ni4
洇,['yên'],yan1
洇,['nhân'],yin1
浜,['banh'],bang1
浜,['binh'],bin1
涼,['lương'],liang2
涼,['lượng'],liang4
混,"['hỗn', 'hồn']",hun2
混,['hỗn'],hun4
淺,['tiên'],jian1
淺,['thiển'],qian3
渠,['cừ'],qu2
渠,['cự'],ju4
渦,['qua'],guo1
渦,['oa'],wo1
湮,['yên'],yan1
湮,['nhân'],yin1
湯,['thang'],tang1
湯,['sương'],shang1
溜,"['lựu', 'lưu']",liu1
溜,['lựu'],liu4
溺,['nịch'],ni4
溺,['niệu'],niao4
漂,['phiêu'],piao1
漂,['phiếu'],piao3
漂,['phiếu'],piao4
漊,['lâu'],lou2
漊,['lũ'],lu:3
漚,['âu'],ou1
漚,['ủ'],ou4
漸,['tiêm'],jian1
漸,['tiệm'],jian4
潦,['lạo'],lao3
潦,['lao'],liao2
澹,"['đạm', 'đàm']",tan2
澹,['đạm'],dan4
濟,['tể'],ji3
濟,['tế'],ji4
濯,['trạo'],zhao4
濯,['trạc'],zhuo2
瀑,['bạo'],bao4
瀑,['bộc'],pu4
瀧,['sang'],shuang1
瀧,"['lung', 'lang']",long2
灠,['lãm'],lan3
灠,['lạm'],lan4
炅,['quý'],gui4
炅,['quýnh'],jiong3
炔,['quế'],gui4
炔,['khuyết'],que1
炮,['bào'],bao1
炮,['bào'],pao2
炮,['pháo'],pao4
炸,['trác'],zha2
炸,['tạc'],zha4
為,['vi'],wei2
為,"['vị', 'vì']",wei4
煆,"['hà', 'hạ']",xia1
煆,"['hà', 'hạ']",ya1
熨,['uý'],yu4
熨,['uất'],yun4
燕,['yên'],yan1
燕,['yến'],yan4
爲,['vi'],wei2
爲,['vị'],wei4
爿,['tường'],qiang2
爿,['bản'],pan2
牟,"['mưu', 'mâu']",mou2
牟,"['mưu', 'mâu']",mu4
猲,['hạt'],he4
猲,['yết'],xie1
猵,['biên'],bian1
猵,['biên'],pian4
率,['luật'],lu:4
率,"['suất', 'soái', 'suý', 'soát']",shuai4
王,['vương'],wang2
王,['vượng'],wang4
玟,['mân'],min2
玟,['văn'],wen2
瑱,['thiến'],tian4
瑱,"['chấn', 'trấn']",zhen4
甬,['dũng'],yong3
甬,['thùng'],tong3
町,['đinh'],ding1
町,['đinh'],ting3
畜,['súc'],chu4
畜,['húc'],xu4
番,['phan'],pan1
番,['phiên'],fan1
畬,['xa'],she1
畬,['dư'],yu2
當,"['đương', 'đang']",dang1
當,['đáng'],dang4
疋,['thất'],pi3
疋,['sơ'],shu1
疋,['nhã'],ya3
疸,['đáp'],da5
疸,['đản'],dan3
瘥,['sái'],chai4
瘥,['ta'],cuo2
癉,['đan'],dan1
癉,['đản'],dan4
的,['đích'],de5
的,['đích'],di1
的,['đích'],di2
的,['đích'],di4
皻,['cha'],cu3
皻,['tra'],zha1
盛,['thịnh'],sheng4
盛,['thình'],cheng2
監,"['giam', 'giám']",jian1
監,['giám'],jian4
相,['tương'],xiang1
相,['tướng'],xiang4
省,['tỉnh'],sheng3
省,['tỉnh'],xing3
看,['khán'],kan1
看,['khán'],kan4
瞤,['nhuần'],run2
瞤,['thuần'],shun4
瞭,['liễu'],liao3
瞭,['liêu'],liao4
石,['thạch'],shi2
石,['đạn'],dan4
砩,['phế'],fei4
砩,['phất'],fu2
碌,['lựu'],liu4
碌,['lục'],lu4
磑,['cai'],ai2
磑,['ngôi'],wei2
磑,['ngại'],wei4
磨,"['ma', 'mài']",mo2
磨,['má'],mo4
祇,['chỉ'],zhi3
祇,['kỳ'],qi2
祭,['sái'],zhai4
祭,['tế'],ji4
禁,"['cầm', 'câm']",jin1
禁,['cấm'],jin4
禪,['thiền'],chan2
禪,['thiện'],shan4
禺,['ngẫu'],ou3
禺,['ngu'],yu2
禺,['ngụ'],yu4
稍,"['sảo', 'sao']",shao1
稍,"['sảo', 'sao']",shao4
種,['chủng'],zhong3
種,"['trồng', 'chúng']",zhong4
稱,['xứng'],chen4
稱,['xưng'],cheng1
稱,['xứng'],cheng4
稽,['kê'],ji1
稽,['khể'],qi3
空,['không'],kong1
空,['khống'],kong4
窨,['huân'],xun1
窨,['ấm'],yin4
竺,['trúc'],zhu2
竺,['đốc'],du3
筊,['giảo'],jiao3
筊,['giảo'],jiao4
節,['tiết'],jie1
節,['tiết'],jie2
篹,['toán'],suan3
篹,['soạn'],zhuan4
篹,['toản'],zuan3
籠,['lồng'],long2
籠,"['lung', 'lồng']",long3
粥,['dục'],yu4
粥,['chúc'],zhou1
糜,['my'],mi2
糜,['my'],mei2
紀,['kỷ'],ji3
紀,['kỷ'],ji4
約,['yêu'],yao1
約,['ước'],yue1
累,"['luỵ', 'luỹ']",lei3
累,['luỵ'],lei4
結,['kết'],jie1
結,['kết'],jie2
絓,['quái'],gua4
絓,['quai'],kua1
絜,"['khiết', 'kiết']",jie2
絜,['hiệt'],xie2
絻,['miện'],mian3
絻,['vấn'],wen4
綜,['tống'],zeng4
綜,"['tổng', 'tông']",zong1
